"ConstituencyCode","Constituency","Nominate","NominateAlias","Gender","Occupation","Politics","NominateDate","Remarks","Candidate"
"A01","CHUNG WAN","LAU Wai-yan Vienna","","F","Dentist","Non-affiliated","2/10/2015","","LAU WAI YAN VIENNA"
"A01","CHUNG WAN","HUI Chi-fung","","M","District Council Member","The Democratic Party","8/10/2015","","HUI CHI FUNG"
"A01","CHUNG WAN","YU Kin-fai","","M","","","14/10/2015","Withdrawn on 15.10.2015","YU KIN FAI"
"A02","MID LEVELS EAST","CHEUNG Yick-hung Jackie","","M","Solicitor","Independent Candidate","7/10/2015","","CHEUNG YICK HUNG JACKIE"
"A02","MID LEVELS EAST","NG Siu-hong","","M","Graphic Designer","The Democratic Party","9/10/2015","","NG SIU HONG"
"A03","CASTLE ROAD","NG Lung-fei","","M","*Bank Manager","Liberal Party","6/10/2015","","NG LUNG FEI"
"A03","CASTLE ROAD","CHENG Lai-king","","F","Central & Western District Councillor /Registered Social Worker","The Democratic Party","10/10/2015","","CHENG LAI KING"
"A04","PEAK","CHAN Ho-lim Joseph","","M","Banking-Managing Director","Liberal Party","6/10/2015","","CHAN HO LIM JOSEPH"
"A04","PEAK","CHAN Shu-moon","","M","Head of Corporate Governance","Independent Candidate","9/10/2015","","CHAN SHU MOON"
"A05","UNIVERSITY","CHAN Chit-kwai","Stephen","M","Manager (Student Residence)","Independent","7/10/2015","","CHAN CHIT KWAI"
"A05","UNIVERSITY","LAU Edward Wai-tak","","M","Business Owner","Independent Candidate","12/10/2015","","LAU EDWARD WAI TAK"
"A06","KENNEDY TOWN & MOUNT DAVIS","CHAN Hok-fung","","M","Assistant to Legislative Councillor","DAB","2/10/2015","","CHAN HOK FUNG"
"A06","KENNEDY TOWN & MOUNT DAVIS","SIN Cheuk-nam","","M","Community Officer","The Democratic Party","9/10/2015","","SIN CHEUK NAM"
"A06","KENNEDY TOWN & MOUNT DAVIS","CHOW Sai-kit","","M","Community Officer","Youngspiration","14/10/2015","","CHOW SAI KIT"
"A07","KWUN LUNG","YEUNG Hoi-wing","","M","*Community Coordinator","DAB","2/10/2015","","YEUNG HOI WING"
"A07","KWUN LUNG","LEUNG Chung-hang Sixtus","","M","E-Commerce Manager","Youngspiration","12/10/2015","","LEUNG CHUNG HANG SIXTUS"
"A08","SAI WAN","CHEUNG Kwok-kwan","","M","Solicitor","DAB","2/10/2015","","CHEUNG KWOK KWAN"
