"ConstituencyCode","Constituency","Nominate","NominateAlias","Gender","Occupation","Politics","NominateDate","Remarks","Candidate"
"A01","¤¤Àô","¼B±LªY","","¤k","¤úÂå","¿W¥ß","2015¦~10¤ë2¤é","","¼B±LªY"
"A01","¤¤Àô","³\´¼<U+5CEF>","","¨k","°ÏÄ³­û","¥Á¥DÄÒ","2015¦~10¤ë8¤é","","³\´¼<U+5CEF>"
"A01","¤¤Àô","§E«Ø½÷","","¨k","","","2015¦~10¤ë14¤é","2015¦~10¤ë15¤é°h¿ï","§E«Ø½÷"
"A02","¥b¤sªF","±iÁl¶¯","","¨k","«ß®v","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë7¤é","","±iÁl¶¯"
"A02","¥b¤sªF","§d¥ü±d","","¨k","¥­­±³]­p®v","¥Á¥DÄÒ","2015¦~10¤ë9¤é","","§d¥ü±d"
"A03","<U+885E>«°","§dÀs­¸","","¨k","*»È¦æ¸g²z","¦Û¥ÑÄÒ","2015¦~10¤ë6¤é","","§dÀs­¸"
"A03","<U+885E>«°","¾GÄR<U+743C>","","¤k","¤¤¦è°Ï°ÏÄ³­û/µù¥UªÀ·|¤u§@ªÌ","¥Á¥DÄÒ","2015¦~10¤ë10¤é","","¾GÄR<U+743C>"
"A04","¤s³»","³¯¯E¾ü","","¨k","»È¦æ¸³¨ÆÁ`¸g²z","¦Û¥ÑÄÒ","2015¦~10¤ë6¤é","","³¯¯E¾ü"
"A04","¤s³»","³¯¾ðº¡","","¨k","¥ø·~ºÞªv¥DºÞ","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë9¤é","","³¯¾ðº¡"
"A05","¤j¾Ç","³¯<U+3A17>¶Q","","¨k","¾Ç¥Í±JªÙ¸g²z","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë7¤é","","³¯<U+3A17>¶Q"
"A05","¤j¾Ç","¼B°¶¼w","","¨k","¤½¥qªF¥D","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë12¤é","","¼B°¶¼w"
"A06","°í¼¯","³¯¾Ç¾W","","¨k","¥ßªk·|Ä³­û§U²z","¥Á«ØÁp","2015¦~10¤ë2¤é","","³¯¾Ç¾W"
"A06","°í¼¯","ËÎ¨ô´P","","¨k","ªÀ°Ï¥D¥ô","¥Á¥DÄÒ","2015¦~10¤ë9¤é","","ËÎ¨ô´P"
"A06","°í¼¯","©P¥@³Ç","","¨k","ªÀ°Ï¥D¥ô","«C¦~·s¬F","2015¦~10¤ë14¤é","","©P¥@³Ç"
"A07","Æ[Às","·¨¶}¥Ã","","¨k","*ªÀ°Ï¥D¥ô","¥Á«ØÁp","2015¦~10¤ë2¤é","","·¨¶}¥Ã"
"A07","Æ[Às","±ç¹|«í","","¨k","¹q¤l°Ó¶T¸g²z","«C¦~·s¬F","2015¦~10¤ë12¤é","","±ç¹|«í"
"A08","¦èÀô","±i°ê¶v","","¨k","«ß®v","¥Á«ØÁp","2015¦~10¤ë2¤é","","±i°ê¶v"
"A08","¦èÀô","²øºa½÷","","¨k","±Ð¨|¤¤¤ß®ÕºÊ","¥Á¥DÄÒ","2015¦~10¤ë7¤é","","²øºa½÷"
"A09","Ä_»A","¸­¥Ã¦¨","","¨k","¦æ¬F¤H­û","","2015¦~10¤ë2¤é","","¸­¥Ã¦¨"
"A09","Ä_»A","·¨¯EµM","","¨k","«ß®v","¥Á¥DÄÒ","2015¦~10¤ë5¤é","","·¨¯EµM"
