ConstituencyCode,Constituency,Candidate,Politics,Camp
A01,CHUNG WAN,LAU WAI YAN VIENNA,Non-affiliated,B
A01,CHUNG WAN,HUI CHI FUNG,The Democratic Party,D
A01,CHUNG WAN,YU KIN FAI,,U
A02,MID LEVELS EAST,CHEUNG YICK HUNG JACKIE,Independent Candidate,B
A02,MID LEVELS EAST,NG SIU HONG,The Democratic Party,D
A03,CASTLE ROAD,NG LUNG FEI,Liberal Party,B
A03,CASTLE ROAD,CHENG LAI KING,The Democratic Party,D
A04,PEAK,CHAN HO LIM JOSEPH,Liberal Party,B
A04,PEAK,CHAN SHU MOON,Independent Candidate,D
A05,UNIVERSITY,CHAN CHIT KWAI(STEPHEN),Independent,B
A05,UNIVERSITY,LAU EDWARD WAI TAK,Independent Candidate,D
A06,KENNEDY TOWN & MOUNT DAVIS,CHAN HOK FUNG,DAB,B
A06,KENNEDY TOWN & MOUNT DAVIS,SIN CHEUK NAM,The Democratic Party,D
A06,KENNEDY TOWN & MOUNT DAVIS,CHOW SAI KIT,Youngspiration,D
A07,KWUN LUNG,YEUNG HOI WING,DAB,B
A07,KWUN LUNG,LEUNG CHUNG HANG SIXTUS,Youngspiration,D
A08,SAI WAN,CHEUNG KWOK KWAN,DAB,B
A08,SAI WAN,CHONG WING FAI WINFIELD,The Democratic Party,D
A09,BELCHER,YIP WING SHING,,B
A09,BELCHER,YEUNG SUI YIN(VICTOR),The Democratic Party,D
A10,SHEK TONG TSUI,CHAN CHOI HI,,B
A10,SHEK TONG TSUI,YIP KAM LUNG SAM,,D
A11,SAI YING PUN,LO YEE HANG,DAB,B
A11,SAI YING PUN,NG WING TAK,,D
A12,SHEUNG WAN,LUI HUNG PAN(BEN LUI),Independent Candidate,B
A12,SHEUNG WAN,KAM NAI WAI,*The Democratic Party,D
A13,TUNG WAH,SIU KA YI,DAB,B
A13,TUNG WAH,HO CHUN KI FREDERICK,*The Democratic Party,D
A14,CENTRE STREET,CHEUNG KAI YIN,The Democratic Party,D
A14,CENTRE STREET,LEE CHI HANG SIDNEY,,B
A15,WATER STREET,YEUNG HOK MING,DAB,B
A15,WATER STREET,NG HOI YAN BONNIE,The Democratic Party,D
A15,WATER STREET,LEE SUNG WAI,,U
B01,HENNESSY,CHEONG MAN LEI,* Independent,B
B01,HENNESSY,CHENG KI KIN,,D
B02,OI KWAN,TANG KING YUNG ANNA,DAB,B
B02,OI KWAN,WONG SUI LUNG,,D
B03,CANAL ROAD,CHUNG KA MAN JACQUELINE,DAB,B
B03,CANAL ROAD,HO GLORIA WING KA,,D
B03,CANAL ROAD,TAI CHEUK YIN LESLIE SPENCER,Independent,U
B04,VICTORIA PARK,CHOW KIT BING JENNIFER,Democratic Alliance for the Betterment and Progress of Hong Kong,B
B05,TIN HAU,LEE MAN LUNG JOEY,New People・s Party,B
B05,TIN HAU,CHAN KIN KWOK,The Democratic Party,D
B06,CAUSEWAY BAY,NG YUEN TING YOLANDA,*Independent,B
B07,TAI HANG,WONG CHING CHI GIGI,New People・s Party,B
B07,TAI HANG,YEUNG SUET YING CLARISSE,Independent Candidate,D
B08,JARDINE'S LOOKOUT,LAM WAI MAN WIND(ANSON),Liberal Party,B
B08,JARDINE'S LOOKOUT,LAI DAVID,*Non-Affiliated Independent,D
B09,BROADWOOD,SIU SEE KONG,*Independent,B
B09,BROADWOOD,MAK KWOK FUNG MICHAEL,League of Social Democrats,D
B09,BROADWOOD,TSE WAI CHUN PAUL,Independent,B
B10,HAPPY VALLEY,NG KAM CHUN(STEPHEN),Independent,B
B10,HAPPY VALLEY,CHIEN KA WO KELVIN,,D
B11,STUBBS ROAD,AU LAI CHONG,,D
B11,STUBBS ROAD,WONG WANG TAI,,B
B12,SOUTHORN,LEE PIK YEE,Independent,B
B12,SOUTHORN,YEUNG YAU FUNG,,D
B13,TAI FAT HAU,LEE KWUN YEE KENNY,Democratic Alliance for the Betterment and Progress of Hong Kong,B
B13,TAI FAT HAU,LEUNG PAK KIN,,D
C01,TAI KOO SHING WEST,CHIU KA YIN ANDREW(ANDREW CHIU),The Democratic Party,D
C01,TAI KOO SHING WEST,NG CHI LUNG(TONY),,B
C02,TAI KOO SHING EAST,TSE TSZ KEI(MARCUS),New People・s Party,B
C02,TAI KOO SHING EAST,WONG CHUN SING PATRICK,Independent,D
C03,LEI KING WAN,YEUNG SZE CHUN,*Independent,B
C03,LEI KING WAN,WONG HUK KAM,Labour Party,D
C03,LEI KING WAN,FU YUEN CHEUNG ALEXANDER(ALEX FU),Non-affliated,B
C03,LEI KING WAN,HO CHIU KWONG PAUL,,U
C04,ALDRICH BAY,NGAN CHUN LIM,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C04,ALDRICH BAY,CHAN KAR PAK,The Democratic Party,D
C05,SHAUKEIWAN,LAM SUM LIM,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C05,SHAUKEIWAN,POON WING YIN,,U
C05,SHAUKEIWAN,LEUNG WING SZE,,D
C06,A KUNG NGAM,TO BOON MAN DANIEL,,U
C06,A KUNG NGAM,LAM KEI TUNG GEORGE,,B
C06,A KUNG NGAM,HUNG CHI KIT,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C07,HENG FA CHUEN,HO NGAI KAM STANLEY(STANLEY),The Hong Kong Federation of Trade Unions,B
C07,HENG FA CHUEN,YEUNG WAI HONG(DR. MARTIN),Independent,U
C07,HENG FA CHUEN,CHOW WING YEE,Independent,D
C08,TSUI WAN,KWAN SHUI LUNG,*Democratic Alliance for the Betterment and Progress of Hong Kong,B
C08,TSUI WAN,LAI LEUNG SIU KWAN,,B
C08,TSUI WAN,KU KWAI YIU,,D
C08,TSUI WAN,WAN TSZ FUNG JEFF,,U
C09,YAN LAM,WONG KIN HING,,B
C10,SIU SAI WAN,WONG KWOK HING,The Hong Kong Federation of Trade Unions (FTU),B
C10,SIU SAI WAN,CHU YAT ON,,B
C10,SIU SAI WAN,TAM TAK CHI,People Power,D
C11,KING YEE,LEUNG KWOK HUNG DAVID,The Hong Kong Federation of Trade Unions,B
C11,KING YEE,YEUNG HON SING,Independent Candidate,D
C11,KING YEE,WONG KWAN FUNG,Independent Candidate,B
C11,KING YEE,CHAN YIU TAK,,U
C12,WAN TSUI,KUNG PAK CHEUNG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C12,WAN TSUI,NG YIN KEUNG,Civic Party,D
C13,FEI TSUI,LI LEE(LILY LEE),*Independent,B
C13,FEI TSUI,LAI CHI KEONG JOSEPH,Civic Party,D
C13,FEI TSUI,LUI CHI MAN,Independent Democrats,U
C14,MOUNT PARKER,WONG KIN PAN,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C15,BRAEMAR HILL,SHIU KA FAI,Liberal Party,B
C16,FORTRESS HILL,LO WING KWAN FRANKIE(LO SHAN),,B
C17,CITY GARDEN,HUI CHING ON,,B
C18,PROVIDENT,KWOK WAI KEUNG,The Hong Kong Federation of Trade Unions,B
C19,FORT STREET,HUNG LIN CHAM,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C20,KAM PING,CHOY SO YUK,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C21,TANNER,TSANG CHEUK YI,Liberal Party,B
C21,TANNER,CHENG TAT HUNG,Civic Party,D
C22,HEALTHY VILLAGE,CHENG CHI SING,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C23,QUARRY BAY,TING KONG HO EDDIE,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C23,QUARRY BAY,IP CHEE TAK,,D
