"ConstituencyCode","Constituency","CandidateCode","CandidateAlias","Votes","Uncontested","elected","VotesN","Year","Key","Candidate"
"A01","CHUNG WAN","1","HUI CHI FUNG","1,090*",FALSE,TRUE,1090,2015,"A01_1","HUI CHI FUNG"
"A01","CHUNG WAN","2","LAU WAI YAN VIENNA","940",FALSE,FALSE,940,2015,"A01_2","LAU WAI YAN VIENNA"
"A02","MID LEVELS EAST","1","NG SIU HONG","1,521*",FALSE,TRUE,1521,2015,"A02_1","NG SIU HONG"
"A02","MID LEVELS EAST","2","CHEUNG YICK HUNG JACKIE","1,466",FALSE,FALSE,1466,2015,"A02_2","CHEUNG YICK HUNG JACKIE"
"A03","CASTLE ROAD","1","CHENG LAI KING","1,457*",FALSE,TRUE,1457,2015,"A03_1","CHENG LAI KING"
"A03","CASTLE ROAD","2","NG LUNG FEI","1,311",FALSE,FALSE,1311,2015,"A03_2","NG LUNG FEI"
"A04","PEAK","1","CHAN SHU MOON","317",FALSE,FALSE,317,2015,"A04_1","CHAN SHU MOON"
"A04","PEAK","2","CHAN HO LIM JOSEPH","1,837*",FALSE,TRUE,1837,2015,"A04_2","CHAN HO LIM JOSEPH"
"A05","UNIVERSITY","1","LAU EDWARD WAI TAK","1,455",FALSE,FALSE,1455,2015,"A05_1","LAU EDWARD WAI TAK"
"A05","UNIVERSITY","2","CHAN CHIT KWAI(STEPHEN)","1,844*",FALSE,TRUE,1844,2015,"A05_2","CHAN CHIT KWAI"
"A06","KENNEDY TOWN & MOUNT DAVIS","1","SIN CHEUK NAM","1,072",FALSE,FALSE,1072,2015,"A06_1","SIN CHEUK NAM"
"A06","KENNEDY TOWN & MOUNT DAVIS","2","CHOW SAI KIT","838",FALSE,FALSE,838,2015,"A06_2","CHOW SAI KIT"
"A06","KENNEDY TOWN & MOUNT DAVIS","3","CHAN HOK FUNG","1,859*",FALSE,TRUE,1859,2015,"A06_3","CHAN HOK FUNG"
"A07","KWUN LUNG","1","LEUNG CHUNG HANG SIXTUS","1,569",FALSE,FALSE,1569,2015,"A07_1","LEUNG CHUNG HANG SIXTUS"
"A07","KWUN LUNG","2","YEUNG HOI WING","2,491*",FALSE,TRUE,2491,2015,"A07_2","YEUNG HOI WING"
"A08","SAI WAN","1","CHONG WING FAI WINFIELD","1,898",FALSE,FALSE,1898,2015,"A08_1","CHONG WING FAI WINFIELD"
"A08","SAI WAN","2","CHEUNG KWOK KWAN","2,011*",FALSE,TRUE,2011,2015,"A08_2","CHEUNG KWOK KWAN"
"A09","BELCHER","1","YIP WING SHING","2,397*",FALSE,TRUE,2397,2015,"A09_1","YIP WING SHING"
"A09","BELCHER","2","YEUNG SUI YIN(VICTOR)","2,328",FALSE,FALSE,2328,2015,"A09_2","YEUNG SUI YIN"
"A10","SHEK TONG TSUI","1","YIP KAM LUNG SAM","1,336",FALSE,FALSE,1336,2015,"A10_1","YIP KAM LUNG SAM"
"A10","SHEK TONG TSUI","2","CHAN CHOI HI","1,898*",FALSE,TRUE,1898,2015,"A10_2","CHAN CHOI HI"
"A11","SAI YING PUN","1","LO YEE HANG","1,790*",FALSE,TRUE,1790,2015,"A11_1","LO YEE HANG"
"A11","SAI YING PUN","2","NG WING TAK","1,204",FALSE,FALSE,1204,2015,"A11_2","NG WING TAK"
"A12","SHEUNG WAN","1","LUI HUNG PAN(BEN LUI)","1,344",FALSE,FALSE,1344,2015,"A12_1","LUI HUNG PAN"
"A12","SHEUNG WAN","2","KAM NAI WAI","1,436*",FALSE,TRUE,1436,2015,"A12_2","KAM NAI WAI"
"A13","TUNG WAH","1","SIU KA YI","1,352*",FALSE,TRUE,1352,2015,"A13_1","SIU KA YI"
"A13","TUNG WAH","2","HO CHUN KI FREDERICK","980",FALSE,FALSE,980,2015,"A13_2","HO CHUN KI FREDERICK"
"A14","CENTRE STREET","1","CHEUNG KAI YIN","1,621",FALSE,FALSE,1621,2015,"A14_1","CHEUNG KAI YIN"
"A14","CENTRE STREET","2","LEE CHI HANG SIDNEY","1,654*",FALSE,TRUE,1654,2015,"A14_2","LEE CHI HANG SIDNEY"
"A15","WATER STREET","1","YEUNG HOK MING","1,878*",FALSE,TRUE,1878,2015,"A15_1","YEUNG HOK MING"
