"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"A01","中環","1","許智<U+5CEF>","1,090*",FALSE,TRUE,1090,2015
"A01","中環","2","劉尉欣","940",FALSE,FALSE,940,2015
"A02","半山東","1","吳兆康","1,521*",FALSE,TRUE,1521,2015
"A02","半山東","2","張翼雄","1,466",FALSE,FALSE,1466,2015
"A03","衛城","1","鄭麗<U+743C>","1,457*",FALSE,TRUE,1457,2015
"A03","衛城","2","吳龍飛","1,311",FALSE,FALSE,1311,2015
"A04","山頂","1","陳樹滿","317",FALSE,FALSE,317,2015
"A04","山頂","2","陳浩濂","1,837*",FALSE,TRUE,1837,2015
"A05","大學","1","劉偉德","1,455",FALSE,FALSE,1455,2015
"A05","大學","2","陳<U+3A17>貴","1,844*",FALSE,TRUE,1844,2015
"A06","堅摩","1","冼卓嵐","1,072",FALSE,FALSE,1072,2015
"A06","堅摩","2","周世傑","838",FALSE,FALSE,838,2015
"A06","堅摩","3","陳學鋒","1,859*",FALSE,TRUE,1859,2015
"A07","觀龍","1","梁頌恆","1,569",FALSE,FALSE,1569,2015
"A07","觀龍","2","楊開永","2,491*",FALSE,TRUE,2491,2015
"A08","西環","1","莊榮輝","1,898",FALSE,FALSE,1898,2015
"A08","西環","2","張國鈞","2,011*",FALSE,TRUE,2011,2015
"A09","寶翠","1","葉永成","2,397*",FALSE,TRUE,2397,2015
"A09","寶翠","2","楊浩然","2,328",FALSE,FALSE,2328,2015
"A10","石塘咀","1","葉錦龍","1,336",FALSE,FALSE,1336,2015
"A10","石塘咀","2","陳財喜","1,898*",FALSE,TRUE,1898,2015
"A11","西營盤","1","盧懿杏","1,790*",FALSE,TRUE,1790,2015
"A11","西營盤","2","伍永德","1,204",FALSE,FALSE,1204,2015
"A12","上環","1","呂鴻賓","1,344",FALSE,FALSE,1344,2015
"A12","上環","2","甘乃威","1,436*",FALSE,TRUE,1436,2015
"A13","東華","1","蕭嘉怡","1,352*",FALSE,TRUE,1352,2015
"A13","東華","2","何俊麒","980",FALSE,FALSE,980,2015
"A14","正街","1","張啟昕","1,621",FALSE,FALSE,1621,2015
"A14","正街","2","李志恒","1,654*",FALSE,TRUE,1654,2015
"A15","水街","1","楊學明","1,878*",FALSE,TRUE,1878,2015
"A15","水街","2","伍凱欣","1,619",FALSE,FALSE,1619,2015
"B01","軒尼詩","1","鄭其建","1,590*",FALSE,TRUE,1590,2015
"B01","軒尼詩","2","張曼莉","760",FALSE,FALSE,760,2015
"B02","愛群","1","黃瑞龍","915",FALSE,FALSE,915,2015
"B02","愛群","2","鄭琴淵","1,367*",FALSE,TRUE,1367,2015
"B03","鵝頸","1","何詠嘉","723",FALSE,FALSE,723,2015
"B03","鵝頸","2","鍾嘉敏","1,018*",FALSE,TRUE,1018,2015
"B04","維園","*","周潔冰","自動當選",TRUE,TRUE,0,2015
"B05","天后","1","李文龍","2,236*",FALSE,TRUE,2236,2015
"B05","天后","2","陳建國","1,021",FALSE,FALSE,1021,2015
"B06","銅鑼灣","*","伍婉婷","自動當選",TRUE,TRUE,0,2015
"B07","大坑","1","王政芝","1,148",FALSE,FALSE,1148,2015
"B07","大坑","2","楊雪盈","1,398*",FALSE,TRUE,1398,2015
"B08","渣甸山","1","林偉文","1,479*",FALSE,TRUE,1479,2015
"B08","渣甸山","2","黎大偉","1,098",FALSE,FALSE,1098,2015
"B09","樂活","1","麥國風","939",FALSE,FALSE,939,2015
"B09","樂活","2","蕭思江","141",FALSE,FALSE,141,2015
"B09","樂活","3","謝偉俊","1,350*",FALSE,TRUE,1350,2015
"B10","跑馬地","1","吳錦津","1,377*",FALSE,TRUE,1377,2015
"B10","跑馬地","2","錢家和","900",FALSE,FALSE,900,2015
"B11","司徒拔道","1","黃宏泰","1,150*",FALSE,TRUE,1150,2015
"B11","司徒拔道","2","區麗莊","642",FALSE,FALSE,642,2015
"B12","修頓","1","楊幼峰","437",FALSE,FALSE,437,2015
"B12","修頓","2","李碧儀","1,463*",FALSE,TRUE,1463,2015
"B13","大佛口","1","李均頤","1,505*",FALSE,TRUE,1505,2015
"B13","大佛口","2","梁柏堅","793",FALSE,FALSE,793,2015
"C01","太古城西","1","趙家賢","3,362*",FALSE,TRUE,3362,2015
"C01","太古城西","2","吳志隆","1,268",FALSE,FALSE,1268,2015
"C02","太古城東","1","謝子祺","2,587",FALSE,FALSE,2587,2015
"C02","太古城東","2","王振星","2,674*",FALSE,TRUE,2674,2015
"C03","鯉景灣","1","王學今","1,612",FALSE,FALSE,1612,2015
"C03","鯉景灣","2","楊斯竣","2,008*",FALSE,TRUE,2008,2015
"C03","鯉景灣","3","傅元章","955",FALSE,FALSE,955,2015
"C03","鯉景灣","4","何超光","211",FALSE,FALSE,211,2015
"C04","愛秩序灣","1","顏尊廉","2,720*",FALSE,TRUE,2720,2015
"C04","愛秩序灣","2","陳嘉<U+6822>","2,401",FALSE,FALSE,2401,2015
"C05","筲箕灣","1","梁詠詩","1,429",FALSE,FALSE,1429,2015
"C05","筲箕灣","2","林心<U+4EB7>","1,444*",FALSE,TRUE,1444,2015
"C05","筲箕灣","3","潘詠妍","107",FALSE,FALSE,107,2015
"C06","阿公岩","1","杜本文","1,696",FALSE,FALSE,1696,2015
"C06","阿公岩","2","林其東","1,810*",FALSE,TRUE,1810,2015
"C06","阿公岩","3","洪志傑","1,112",FALSE,FALSE,1112,2015
"C07","杏花<U+90A8>","1","楊偉康","610",FALSE,FALSE,610,2015
"C07","杏花<U+90A8>","2","周詠儀","2,025",FALSE,FALSE,2025,2015
"C07","杏花<U+90A8>","3","何毅淦","3,642*",FALSE,TRUE,3642,2015
"C08","翠灣","1","古桂耀","1,629*",FALSE,TRUE,1629,2015
"C08","翠灣","2","尹梓烽","69",FALSE,FALSE,69,2015
"C08","翠灣","3","關瑞龍","1,572",FALSE,FALSE,1572,2015
"C08","翠灣","4","黎梁笑群","1,181",FALSE,FALSE,1181,2015
"C09","欣藍","*","黃健興","自動當選",TRUE,TRUE,0,2015
"C10","小西灣","1","王國興","1,981*",FALSE,TRUE,1981,2015
"C10","小西灣","2","朱日安","783",FALSE,FALSE,783,2015
"C10","小西灣","3","譚得志(快必)","1,229",FALSE,FALSE,1229,2015
"C11","景怡","1","黃群峰","195",FALSE,FALSE,195,2015
"C11","景怡","2","楊漢成","1,950",FALSE,FALSE,1950,2015
"C11","景怡","3","陳耀德","930",FALSE,FALSE,930,2015
"C11","景怡","4","梁國鴻","2,257*",FALSE,TRUE,2257,2015
"C12","環翠","1","吳彥強","1,436",FALSE,FALSE,1436,2015
"C12","環翠","2","龔<U+6822>祥","2,227*",FALSE,TRUE,2227,2015
"C13","翡翠","1","李莉","1,797",FALSE,FALSE,1797,2015
"C13","翡翠","2","黎志強","2,314*",FALSE,TRUE,2314,2015
"C13","翡翠","3","呂志文","114",FALSE,FALSE,114,2015
"C14","柏架山","*","黃建彬","自動當選",TRUE,TRUE,0,2015
"C15","寶馬山","*","邵家輝","自動當選",TRUE,TRUE,0,2015
"C16","炮台山","*","羅榮焜(羅山)","自動當選",TRUE,TRUE,0,2015
"C17","城市花園","*","許清安","自動當選",TRUE,TRUE,0,2015
"C18","和富","*","郭偉<U+5F3A>","自動當選",TRUE,TRUE,0,2015
"C19","堡壘","*","洪連杉","自動當選",TRUE,TRUE,0,2015
"C20","錦屏","*","蔡素玉","自動當選",TRUE,TRUE,0,2015
"C21","丹拿","1","鄭達鴻","2,338*",FALSE,TRUE,2338,2015
"C21","丹拿","2","曾卓兒","2,039",FALSE,FALSE,2039,2015
"C22","健康村","*","鄭志成","自動當選",TRUE,TRUE,0,2015
"C23","<U+9C02>魚涌","1","葉智德","1,010",FALSE,FALSE,1010,2015
"C23","<U+9C02>魚涌","2","丁江浩","1,656*",FALSE,TRUE,1656,2015
"C24","南豐","1","楊默","1,182",FALSE,FALSE,1182,2015
"C24","南豐","2","李澤深","42",FALSE,FALSE,42,2015
"C24","南豐","3","張國昌","3,343*",FALSE,TRUE,3343,2015
"C25","康怡","1","黃寶兒","29",FALSE,FALSE,29,2015
"C25","康怡","2","梁穎敏","2,535*",FALSE,TRUE,2535,2015
"C25","康怡","3","洪龍荃","2,443",FALSE,FALSE,2443,2015
"C26","康山","1","江玉歡","1,814",FALSE,FALSE,1814,2015
"C26","康山","2","梁兆新","2,384*",FALSE,TRUE,2384,2015
"C27","興東","1","曾國輝","2,808",FALSE,FALSE,2808,2015
"C27","興東","2","許林慶","3,310*",FALSE,TRUE,3310,2015
"C28","西灣河","1","江澤濠","1,956",FALSE,FALSE,1956,2015
"C28","西灣河","2","麥德正","2,222*",FALSE,TRUE,2222,2015
"C29","下耀東","1","王志鍾","1,658*",FALSE,TRUE,1658,2015
"C29","下耀東","2","吳錦偉","977",FALSE,FALSE,977,2015
"C29","下耀東","3","王詩展","992",FALSE,FALSE,992,2015
"C30","上耀東","*","趙資強","自動當選",TRUE,TRUE,0,2015
"C31","興民","1","張駿邦","1,391",FALSE,FALSE,1391,2015
"C31","興民","2","劉慶揚","2,470*",FALSE,TRUE,2470,2015
"C32","樂康","1","曾健成(阿牛)","1,969",FALSE,FALSE,1969,2015
"C32","樂康","2","倫文傑","48",FALSE,FALSE,48,2015
"C32","樂康","3","李進秋","2,396*",FALSE,TRUE,2396,2015
"C33","翠德","1","李鎮強","2,351*",FALSE,TRUE,2351,2015
"C33","翠德","2","李健恆","979",FALSE,FALSE,979,2015
"C34","漁灣","1","鍾樹根","1,863",FALSE,FALSE,1863,2015
"C34","漁灣","2","徐子見","2,026*",FALSE,TRUE,2026,2015
"C35","佳曉","1","植潔鈴","1,514",FALSE,FALSE,1514,2015
"C35","佳曉","2","林翠蓮","2,241*",FALSE,TRUE,2241,2015
"D01","香港仔","1","文豪強","1,598",FALSE,FALSE,1598,2015
