ConstituencyCode,CandidateCode,Key,Constituency,Candidate,Gender,Occupation,Politics,CandidateAlias,Uncontested,elected,VotesN,Year,Constituency_ZH,Politics_ZH,Candidate_ZH,Camp
A01,1,A01_1,CHUNG WAN,HUI CHI FUNG,M,District Council Member,The Democratic Party,HUI CHI FUNG,FALSE,TRUE,1090,2015,中環,民主黨,許智?,D
A01,2,A01_2,CHUNG WAN,LAU WAI YAN VIENNA,F,Dentist,Non-affiliated,LAU WAI YAN VIENNA,FALSE,FALSE,940,2015,中環,港島各界,劉尉欣,B
A02,1,A02_1,MID LEVELS EAST,NG SIU HONG,M,Graphic Designer,The Democratic Party,NG SIU HONG,FALSE,TRUE,1521,2015,半山東,民主黨,吳兆康,D
A02,2,A02_2,MID LEVELS EAST,CHEUNG YICK HUNG JACKIE,M,Solicitor,Independent Candidate,CHEUNG YICK HUNG JACKIE,FALSE,FALSE,1466,2015,半山東,港島各界,張翼雄,B
A03,1,A03_1,CASTLE ROAD,CHENG LAI KING,F,Central & Western District Councillor /Registered Social Worker,The Democratic Party,CHENG LAI KING,FALSE,TRUE,1457,2015,衛城,民主黨,鄭麗?,D
A03,2,A03_2,CASTLE ROAD,NG LUNG FEI,M,*Bank Manager,Liberal Party,NG LUNG FEI,FALSE,FALSE,1311,2015,衛城,自由黨,吳龍飛,B
A04,1,A04_1,PEAK,CHAN SHU MOON,M,Head of Corporate Governance,Independent Candidate,CHAN SHU MOON,FALSE,FALSE,317,2015,山頂,2047香港監察,陳樹滿,D
A04,2,A04_2,PEAK,CHAN HO LIM JOSEPH,M,Banking-Managing Director,Liberal Party,CHAN HO LIM JOSEPH,FALSE,TRUE,1837,2015,山頂,自由黨,陳浩濂,B
A05,1,A05_1,UNIVERSITY,LAU EDWARD WAI TAK,M,Business Owner,Independent Candidate,LAU EDWARD WAI TAK,FALSE,FALSE,1455,2015,大學,西環飛踴動力,劉偉德,D
A05,2,A05_2,UNIVERSITY,CHAN CHIT KWAI,M,Manager (Student Residence),Independent,CHAN CHIT KWAI(STEPHEN),FALSE,TRUE,1844,2015,大學,新世紀論壇,陳捷貴,B
A06,1,A06_1,KENNEDY TOWN & MOUNT DAVIS,SIN CHEUK NAM,M,Community Officer,The Democratic Party,SIN CHEUK NAM,FALSE,FALSE,1072,2015,堅摩,民主黨,冼卓嵐,D
A06,2,A06_2,KENNEDY TOWN & MOUNT DAVIS,CHOW SAI KIT,M,Community Officer,Youngspiration,CHOW SAI KIT,FALSE,FALSE,838,2015,堅摩,青年新政,周世傑,D
A06,3,A06_3,KENNEDY TOWN & MOUNT DAVIS,CHAN HOK FUNG,M,Assistant to Legislative Councillor,DAB,CHAN HOK FUNG,FALSE,TRUE,1859,2015,堅摩,民建聯,陳學鋒,B
